Registro,"P80, micras",Rec Cu,Ley Cu
1,184.6,80.13,22.46
2,173.5,81.06,21.65
3,167.3,81.70,21.11
4,164.0,81.86,20.95
5,175.0,80.96,21.74
6,171.7,81.16,21.55
7,170.4,81.31,21.43
8,161.9,81.98,20.83
9,162.6,82.37,20.60
10,167.4,81.46,21.27
11,172.4,80.50,21.98
12,169.3,81.39,21.35
13,164.2,81.53,21.16
14,170.1,81.07,21.58
15,179.8,80.10,22.39
16,175.3,80.52,22.03
17,173.4,80.51,22.00
18,174.6,80.66,21.92
19,172.4,80.75,21.82
20,174.4,80.79,21.84
21,170.1,80.83,21.73
22,176.8,80.46,22.10
23,176.1,80.34,22.16
24,177.1,80.44,22.12
25,166.8,81.36,21.32
26,168.7,81.39,21.34
27,177.1,80.78,21.90
28,169.2,81.23,21.46
29,174.3,80.62,21.94
30,172.3,80.63,21.90
31,178.1,80.25,22.25
32,183.6,80.18,22.41
33,179.2,80.70,21.99
34,171.7,81.37,21.41
35,174.0,81.13,21.62
36,175.0,80.99,21.72
37,173.3,80.96,21.71
38,178.0,80.62,22.02
39,177.2,80.43,22.12
40,181.1,80.52,22.15
41,179.1,80.60,22.05
42,180.2,80.36,22.23
43,183.3,80.44,22.24
44,178.4,80.92,21.83
45,183.2,80.43,22.24
46,185.4,80.00,22.56
47,181.6,80.39,22.24
48,173.7,81.36,21.46
49,174.9,80.86,21.80
50,188.7,79.64,22.85
51,188.3,79.90,22.68
52,189.1,79.81,22.75
53,179.3,80.53,22.11
54,189.1,79.93,22.68
55,173.9,81.35,21.47
56,174.6,80.92,21.76
57,174.3,81.10,21.64
58,178.6,80.55,22.08
59,170.5,81.11,21.56
60,160.2,82.11,20.72
61,162.8,82.14,20.74
62,173.8,81.05,21.66
63,175.0,81.29,21.53
64,176.2,80.78,21.88
65,163.3,81.77,20.99
66,168.9,81.62,21.20
67,176.9,80.65,21.97
68,187.4,79.80,22.73
69,181.8,80.38,22.25
70,192.4,79.76,22.86
71,189.9,79.58,22.92
72,180.6,80.15,22.37
73,187.1,79.94,22.64
74,179.0,80.36,22.20
75,171.4,81.08,21.59
76,183.0,80.28,22.34
77,183.0,80.30,22.32
78,184.1,79.91,22.60
79,175.4,80.77,21.87
80,178.9,80.30,22.24
81,180.1,80.05,22.42
82,180.9,80.15,22.38
83,178.9,80.17,22.32
84,178.8,79.99,22.43
85,164.0,81.44,21.22
86,165.3,81.27,21.35
87,172.4,80.93,21.71
88,172.8,80.97,21.69
89,166.6,81.14,21.46
90,171.9,80.94,21.69
91,166.8,81.39,21.30
92,159.6,81.91,20.83
93,162.9,81.57,21.11
94,171.0,80.98,21.65
95,157.8,82.18,20.62
96,154.2,82.53,20.33
97,157.9,82.16,20.64
98,154.3,82.84,20.13
99,167.8,81.68,21.14
100,167.6,81.47,21.27
101,185.2,79.88,22.63
102,175.8,80.66,21.95
103,176.9,80.26,22.23
104,156.0,82.35,20.48
105,183.4,80.07,22.47
106,185.3,79.57,22.83
107,178.5,80.27,22.25
108,176.7,80.49,22.07
109,185.7,79.40,22.95
110,184.5,79.60,22.80
111,160.7,81.83,20.90
112,174.8,80.94,21.75